3:[-500, -498]:[-500, -484]
3:[-500, -484]:[-500, -481]
18:[-500, -498]:[-500, -482]
18:[-500, -482]:[-500, -481]
17:[-500, -500]:[-500, -483]
17:[-500, -483]:[-500, -482]
17:[-500, -482]:[-500, -479]
21:[-500, -500]:[-500, -483]
21:[-500, -483]:[-500, -482]
23:[-500, -500]:[-500, -487]
20:[-500, -498]:[-500, -484]
20:[-500, -484]:[-500, -480]
20:[-500, -480]:[-500, -489]
25:[-500, -500]:[-500, -484]
27:[-500, -485]:[-500, -482]
49:[-500, -483]:[-500, -478]
24:[-500, -498]:[-500, -486]
24:[-500, -486]:[-500, -477]
48:[-500, -500]:[-500, -465]
37:[-500, -500]:[-500, -486]
46:[-500, -487]:[-500, -467]
54:[-500, -483]:[-500, -497]
59:[-500, -500]:[-500, -475]
39:[-500, -479]:[-500, -484]
52:[-500, -500]:[-500, -485]
55:[-500, -490]:[-500, -460]
34:[-500, -500]:[-500, -489]
34:[-500, -489]:[-500, -479]
42:[-500, -483]:[-500, -488]
36:[-500, -498]:[-500, -473]
36:[-500, -473]:[-500, -464]
30:[-500, -485]:[-500, -480]
30:[-500, -480]:[-500, -472]
29:[-500, -498]:[-500, -487]
29:[-500, -487]:[-500, -482]
58:[-500, -475]:[-500, -458]
38:[-500, -488]:[-500, -498]
33:[-500, -485]:[-500, -474]
33:[-500, -474]:[-500, -464]
47:[-500, -479]:[-500, -480]
35:[-500, -477]:[-500, -493]
41:[-500, -488]:[-500, -470]
31:[-500, -500]:[-500, -478]
40:[-500, -500]:[-500, -471]
43:[-500, -479]:[-500, -481]
61:[-500, -463]:[-500, -473]
44:[-500, -500]:[-500, -469]
32:[-500, -498]:[-500, -476]
32:[-500, -476]:[-500, -466]
53:[-500, -493]:[-500, -483]
50:[-500, -487]:[-500, -476]
19:[-500, -500]:[-500, -486]
19:[-500, -486]:[-500, -481]
19:[-500, -481]:[-500, -479]
19:[-500, -479]:[-500, -475]
19:[-500, -475]:[-500, -483]
57:[-500, -482]:[-500, -459]
22:[-500, -498]:[-500, -489]
22:[-500, -489]:[-500, -488]
22:[-500, -488]:[-500, -485]
22:[-500, -485]:[-500, -474]
56:[-500, -489]:[-500, -459]
45:[-500, -483]:[-500, -468]
28:[-500, -500]:[-500, -481]
28:[-500, -481]:[-500, -472]
26:[-500, -498]:[-500, -483]
26:[-500, -483]:[-500, -472]
51:[-500, -479]:[-500, -487]
68:[407, -50]:[-500, -491]
68:[-500, -491]:[-500, -490]
68:[-500, -490]:[-500, -486]
69:[-185, -116]:[-500, -492]
69:[-500, -492]:[-500, -489]
69:[-500, -489]:[-500, -496]
71:[-427, -176]:[-500, -492]
71:[-500, -492]:[-500, -491]
70:[-256, -111]:[-500, -492]
70:[-500, -492]:[-500, -491]
70:[-500, -491]:[-500, -490]
72:[-342, 277]:[-500, -496]
10:[-500, -491]:[-500, -463]
10:[-500, -463]:[-500, -459]
10:[-500, -459]:[-500, -457]
10:[-500, -457]:[-500, -491]
10:[-500, -491]:[-500, -463]
10:[-500, -463]:[-500, -461]
10:[-500, -461]:[-500, -460]
10:[-500, -460]:[-500, -459]
10:[-500, -459]:[-500, -458]
10:[-500, -458]:[-500, -457]
10:[-500, -457]:[-500, -456]
10:[-500, -456]:[-500, -455]
10:[-500, -455]:[-500, -454]
10:[-500, -454]:[-500, -453]
75:[-498, 383]:[-500, -495]
75:[-500, -495]:[-500, -494]
75:[-500, -494]:[-500, -493]
75:[-500, -493]:[-500, -492]
78:[-70, 159]:[-500, -498]
78:[-500, -498]:[-500, -496]
10:[-500, -453]:[-500, -499]
10:[-500, -499]:[-500, -498]
10:[-500, -498]:[-500, -496]
10:[-500, -496]:[-500, -495]
10:[-500, -495]:[-500, -500]
10:[-500, -500]:[-500, -499]
10:[-500, -499]:[-500, -498]
10:[-500, -498]:[-500, -497]
81:[321, 308]:[-500, -500]
81:[-500, -500]:[-500, -498]
82:[-359, -215]:[-500, -499]
84:[85, 374]:[-500, -500]
5:[-500, -496]:[-500, -500]
5:[-500, -500]:[-500, -499]
5:[-500, -499]:[-500, -494]
4:[-500, -497]:[-500, -496]
4:[-500, -496]:[-500, -495]
4:[-500, -495]:[-500, -490]
10:[-182, 404]:[-500, -497]
2:[-500, -499]:[-500, -497]
2:[-500, -497]:[-500, -496]
2:[-500, -496]:[-500, -493]
8:[-293, -411]:[-500, -498]
8:[-500, -498]:[-500, -494]
1:[-500, -500]:[-500, -498]
1:[-500, -498]:[-500, -494]
1:[-500, -494]:[-500, -492]
1:[-500, -492]:[-500, -490]
3:[-500, -498]:[-500, -495]
3:[-500, -495]:[-500, -493]
3:[-500, -493]:[-500, -491]
3:[-500, -491]:[-500, -489]
9:[-175, 489]:[-500, -495]
9:[-500, -495]:[-500, -494]
7:[-477, 337]:[-500, -500]
7:[-500, -500]:[-500, -499]
7:[-500, -499]:[-500, -497]
18:[-318, -23]:[-500, -500]
6:[37, -244]:[-500, -496]
6:[-500, -496]:[-500, -495]
13:[-410, -1]:[-500, -500]
13:[-500, -500]:[-500, -497]
14:[94, -257]:[-500, -495]
12:[-164, 131]:[-500, -498]
12:[-500, -498]:[-500, -497]
16:[164, 269]:[-500, -498]
25:[-302, -356]:[-500, -500]
17:[423, 375]:[-500, -497]
15:[-1, -177]:[-500, -496]
15:[-500, -496]:[-500, -493]
19:[-300, -471]:[-500, -500]
19:[-500, -500]:[-500, -499]
20:[-15, 142]:[-500, -494]
11:[411, -294]:[-500, -499]
11:[-500, -499]:[-500, -497]
